	district	neighbourhood	in_dist
15167	Marsilac	clube campestre de sao paulo	1
15206	Raposo Tavares	cohab educandario	1
15266	Capão Redondo	cohab monet	1
15398	Raposo Tavares	cohab raposo tavares	1
15491	José Bonifácio	colonia	1
15552	Grajaú	colonia do grajau	1
15661	Tremembé	condominio reserva cantareira	1
15757	Tremembé	condominio uniserve	1
15850	Jaraguá	conjunto bandeirantes	1
16016	Jaguaré	conjunto butanta	1
16042	Jaraguá	conjunto city jaragua	1
16140	Itaim Paulista	conjunto encosta norte	1
16237	Tremembé	conjunto estrela dalva	1
16333	Tremembé	conjunto flor de maio	1
16427	Itaquera	conjunto habitacional a.e. carvalho	1
16526	Cidade Tiradentes	conjunto habitacional barro branco i	1
16622	Cidade Tiradentes	conjunto habitacional barro branco ii	1
16714	Jaraguá	conjunto habitacional brigadeiro edutardo gomes	1
16831	Penha	conjunto habitacional chaparral	1
16931	José Bonifácio	conjunto habitacional fazenda do carmo	1
16994	Capão Redondo	conjunto habitacional instituto adventista	1
17090	Capão Redondo	conjunto habitacional jd sao bento	1
17238	Artur Alvim	conjunto habitacional jose de anchieta	1
17324	Guaianases	conjunto habitacional juscelino kubitschek	1
17379	Sapopemba	conjunto habitacional marechal mascarenhas de morais	1
17526	Artur Alvim	conjunto habitacional padre manoel da nobrega	1
17622	Artur Alvim	conjunto habitacional padre manoel de paiva	1
17666	Capão Redondo	conjunto habitacional pirajussara	1
17819	Perus	conjunto habitacional recanto dos humildes	1
17859	Sapopemba	conjunto habitacional teotonio vilela	1
17962	Jaraguá	conjunto habitacional turistica	1
18072	Cachoeirinha	conjunto habitacional vila nova cachoeirinha	1
18155	Itaquera	conjunto habitacional aguia de haia	1
18324	Vila Leopoldina	conjunto haddad	1
18339	Sapopemba	conjunto jau	1
18492	Jaçanã	conjunto jova rural	1
18531	Sapopemba	conjunto lar nacional	1
18631	Brasilândia	conjunto promorar estrada da parada	1
18758	Raposo Tavares	conjunto promorar raposo tavares	1
18839	São Rafael	conjunto promorar rio claro	1
18915	Sapopemba	conjunto promorar sapopemba	1
19013	Jardim São Luís	conjunto promorar sao luis	1
19149	Vila Maria	conjunto promorar vila maria	1
19210	Jaraguá	conjunto residencial alpes do jaragua	1
19379	Butantã	conjunto residencial butanta	1
19402	Jaraguá	conjunto residencial elisio teixeira leite	1
19503	Cidade Dutra	conjunto residencial flavia	1
19603	Pedreira	conjunto residencial ingai	1
19752	Anhanguera	conjunto residencial jardim canaa	1
19811	José Bonifácio	conjunto residencial jose bonifacio	1
19909	Vila Sônia	conjunto residencial morumbi	1
20032	Limão	conjunto residencial novo pacaembu	1
20136	Anhanguera	conjunto residencial paraiso	1
20200	Campo Grande	conjunto residencial sabara	1
20271	Cidade Dutra	conjunto residencial salvador tolezani	1
20399	Mandaqui	conjunto residencial santa terezinha	1
20495	Mandaqui	conjunto residencial santo antonio	1
20547	Sapopemba	conjunto residencial sitio oratorio	1
20656	Pirituba	conjunto residencial vista verde	1
20746	Jaraguá	conjunto santa marta	1
20845	Tremembé	conjunto sobradinho	1
20938	Jaraguá	conjunto vila brasilandia	1
21034	Jaraguá	conjunto vista linda	1
21130	Jaraguá	conjunto vista livre	1
21226	Jaraguá	conjunto voith	1
21330	Lajeado	conjunto da paz	1
21455	Mandaqui	conjunto dos bancarios	1
21585	Consolação	consolacao	1
21605	Jardim São Luís	copacabana	1
21696	Grajaú	corujas	1
21793	Jardim Ângela	cumbica	1
21894	Cidade Ademar	cupece	1
22033	Cursino	cursino	1
22119	Ipiranga	dom pedro i	1
22214	Raposo Tavares	educandario	1
22291	Pedreira	eldorado	1
22389	Parelheiros	embura	1
22489	Cangaíba	engenheiro goulart	1
22655	Marsilac	engenheiro marsilac	1
22687	Penha	engenheiro trindade	1
22795	Ermelino Matarazzo	ermelino matarazzo	1
22858	Jaraguá	estancia jaragua	1
22945	Jardim Ângela	estancia mirim	1
23041	Jardim Ângela	estancia tangara	1
23216	Jaguaré	favela vila nova jaguare	1
23261	Cidade Líder	fazenda aricanduva	1
23401	Parque do Carmo	fazenda caguacu	1
23436	Itaim Paulista	fazenda itaim	1
23606	Morumbi	fazenda morumbi	1
23689	Parque do Carmo	fazenda nossa senhora do carmo	1
23715	Sapopemba	fazenda da juta	1
23843	José Bonifácio	fazenda do carmo	1
23941	Vila Sônia	ferreira	1
24014	Cidade Tiradentes	ferroviarios	1
24124	Freguesia do Ó	freguesia do o	1
24205	Tremembé	furnas	1
24288	Grajaú	gaivotas	1
24457	Parque do Carmo	gleba do pessego	1
24555	Liberdade	glicerio	1
24576	Grajaú	grajau	1
24734	Santo Amaro	granja julieta	1
24783	Cidade Dutra	granja nossa senhora aparecida	1
24878	Cidade Tiradentes	graficos	1
24979	Pedreira	guacuri	1
25100	Guaianases	guaianases	1
25183	Penha	guaiauna	1
25308	Jaçanã	guapira	1
25349	Jardim São Luís	guarapiranga	1
25521	Consolação	higienopolis	1
25605	Mooca	hipodromo	1
25645	Tremembé	horto	1
25741	Tremembé	horto florestal	1
25832	Campo Limpo	horto do ipe	1
25985	Moema	ibirapuera	1
26038	Iguatemi	iguatemi	1
26112	Grajaú	ilha do borore	1
26249	Santana	imirim	1
26369	Moema	indianopolis	1
26483	Butantã	inocoop	1
26579	Butantã	instituto de previdencia	1
26680	Socorro	interlagos	1
26702	Cidade Tiradentes	inacio monteiro	1
26823	Ipiranga	ipiranga	1
26908	Freguesia do Ó	itaberaba	1
27027	Itaim Bibi	itaim	1
27123	Itaim Bibi	itaim bibi	1
27180	Itaim Paulista	itaim paulista	1
27285	Parelheiros	itaim de parelheiros	1
27371	Itaquera	itaquera	1
27475	Pedreira	itatinga	1
27557	Jardim São Luís	itupu	1
27657	Jabaquara	jabaquara	1
27765	Parelheiros	jaceguava	1
27932	Jaguara	jaguara	1
28016	Jaguaré	jaguare	1
28042	Jaraguá	jaragua	1
28160	Rio Pequeno	jardim adalgisa	1
28235	Itaquera	jardim adelaide	1
28379	Perus	jardim adelfiore	1
28499	Butantã	jardim ademar	1
28595	Butantã	jardim adhemar de barros	1
28611	Sapopemba	jardim adutora	1
28732	Freguesia do Ó	jardim adelia	1
28874	Campo Belo	jardim aeroporto	1
28960	Limão	jardim aida	1
29004	Itaim Paulista	jardim aimore	1
29109	Parelheiros	jardim aladim	1
29186	Capão Redondo	jardim albano	1
29283	Sapopemba	jardim alexandrina	1
29381	Jardim São Luís	jardim alfredo	1
29525	Tatuapé	jardim alice	1
29575	Brasilândia	jardim almanara	1
29685	Parelheiros	jardim almeida	1
29760	Grajaú	jardim almeida prado	1
29871	Cidade Dutra	jardim alpino	1
29974	Iguatemi	jardim alto alegre	1
29975	São Rafael	jardim alto alegre	1
30115	São Miguel	jardim alto pedroso	1
30184	Campo Grande	jardim alva	1
30250	Jaraguá	jardim alvina	1
30357	Parelheiros	jardim alviverde	1
30434	Capão Redondo	jardim alvorada (capao redondo)	1
30528	Grajaú	jardim alvorada (grajau)	1
30631	Brasilândia	jardim alvorada (zona norte)	1
30757	Vila Sônia	jardim alvorada (zona oeste)	1
30819	Sapopemba	jardim alzira	1
30950	Raposo Tavares	jardim amaralina	1
31025	Vila Andrade	jardim ampliacao	1
31106	Capão Redondo	jardim amalia	1
31215	Cidade Dutra	jardim amelia	1
31362	Jardim Paulista	jardim america	1
31423	Penha	jardim america da penha	1
31503	Cidade Dutra	jardim ana lucia	1
31588	Sacomã	jardim ana maria	1
31591	Brasilândia	jardim ana maria	1
31592	Campo Limpo	jardim ana maria	1
31683	Sapopemba	jardim ana rosa	1
31785	Jabaquara	jardim anchieta	1
31887	Cidade Dutra	jardim angelina	1
32008	Campo Grande	jardim anhanguera	1
32040	Anhanguera	jardim anhanguera	1
32121	Aricanduva	jardim antonieta	1
32184	Cachoeirinha	jardim antartica	1
32311	Vila Formosa	jardim analia franco	1
32371	Pedreira	jardim aparecida	1
32461	Tremembé	jardim apuana	1
32563	Pedreira	jardim apura	1
32641	Jardim Ângela	jardim aracati	1
32758	Iguatemi	jardim arantes	1
32832	Grajaú	jardim arco-iris	1
32985	Aricanduva	jardim aricanduva	1
33053	Cidade Líder	jardim arize	1
33145	Cangaíba	jardim arizona	1
33254	Raposo Tavares	jardim arpoador	1
33366	Artur Alvim	jardim artur alvim	1
33456	Vila Matilde	jardim assuncao	1
33517	Tremembé	jardim ataliba leonel	1
33689	Alto de Pinheiros	jardim atibaia	1
33698	Capão Redondo	jardim atlantico	1
33810	Lajeado	jardim augusta	1
33910	Iguatemi	jardim augusto	1
34028	Guaianases	jardim aurea	1
34091	Itaquera	jardim aurora	1
34098	Lajeado	jardim aurora	1
34212	Vila Mariana	jardim aurelia	1
34274	Capão Redondo	jardim aurelio	1
34414	Vila Prudente	jardim avelino	1
34466	Capão Redondo	jardim avenida	1
34560	Grajaú	jardim azano	1
34669	Tremembé	jardim azano i	1
34765	Tremembé	jardim azano ii	1
34871	São Rafael	jardim bandeirante	1
34954	Jaraguá	jardim bandeirantes	1
35097	Aricanduva	jardim barreira grande	1
35162	Vila Curuçá	jardim bartira	1
35270	Raposo Tavares	jardim batalha	1
35343	Cidade Dutra	jardim beatriz	1
35395	São Miguel	jardim beatriz	1
35452	Freguesia do Ó	jardim bela vista	1
35486	Santo Amaro	jardim bela vista	1
35612	Jaguara	jardim belaura	1
35616	Grajaú	jardim belcito	1
35755	Ermelino Matarazzo	jardim belem	1
35820	Itaim Paulista	jardim benfica	1
35919	Cidade Dutra	jardim bichinhos	1
36001	Jardim Ângela	jardim boa esperanca	1
36002	Capão Redondo	jardim boa esperanca	1
36134	Raposo Tavares	jardim boa vista (zona oeste)	1
36197	Jardim São Luís	jardim boa vista (zona sul)	1
36297	Jabaquara	jardim bom clima	1
36386	Capão Redondo	jardim bom pastor	1
36488	Campo Limpo	jardim bom refugio	1
36659	Butantã	jardim bonfiglioli	1
36687	Cidade Dutra	jardim bonito	1
36768	Grajaú	jardim bonito	1
36864	Grajaú	jardim borba gato	1
36964	Sacomã	jardim botucatu	1
37098	Vila Medeiros	jardim brasil	1
37110	Artur Alvim	jardim brasil	1
37130	Campo Belo	jardim brasil	1
37159	Brasilândia	jardim brasilia	1
37162	Jaraguá	jardim brasilia	1
37181	Cidade Líder	jardim brasilia	1
37248	Grajaú	jardim brasilia	1
37362	Lajeado	jardim brigida	1
37512	Anhanguera	jardim britania	1
37541	Jardim São Luís	jardim bronzato	1
37655	São Rafael	jardim buriti	1
37768	Campo Grande	jardim belgica	1
37861	Vila Sônia	jardim cabore	1
37980	Jaçanã	jardim cabucu	1
38044	Freguesia do Ó	jardim cachoeira	1
38169	Aricanduva	jardim caguacu	1
38209	Jardim Ângela	jardim caicara	2
38360	Ponte Rasa	jardim caju	1
38432	Rio Pequeno	jardim california	1
38489	Alto de Pinheiros	jardim california	1
38508	Itaim Paulista	jardim camargo novo	1
38604	Itaim Paulista	jardim camargo velho	1
38726	Raposo Tavares	jardim cambara	1
38821	Vila Sônia	jardim cambore	1
38880	Grajaú	jardim campinas	1
38997	Parelheiros	jardim campo belo	1
39112	Campo Grande	jardim campo grande	1
39176	Campo Limpo	jardim campo limpo	1
39181	Tremembé	jardim campo limpo	1
39266	Capão Redondo	jardim campo de fora	1
39362	Capão Redondo	jardim campo dos ferreiros	1
39474	Lajeado	jardim campos	1
39482	Vila Curuçá	jardim campos	1
39577	Cangaíba	jardim cangaiba	1
39649	Jardim Ângela	jardim capela	1
39749	Jardim São Luís	jardim capelinha	1
39842	Capão Redondo	jardim capao redondo	1
39998	Santo Amaro	jardim caravelas	1
40086	Artur Alvim	jardim cardoso	1
40175	Mandaqui	jardim carlu	1
40265	Santana	jardim carmen veronica	1
40346	Vila Curuçá	jardim carolina	1
40423	Brasilândia	jardim carombe	1
40533	Parelheiros	jardim casa grande	1
40638	Vila Jacuí	jardim casa pintada	1
40709	Jardim São Luís	jardim casablanca	1
40800	Grajaú	jardim castro alves	1
40904	Campo Limpo	jardim catanduva	1
41049	Aricanduva	jardim catarina	1
41171	Butantã	jardim caxingui	1
41208	Cachoeirinha	jardim ceci	1
41304	Cachoeirinha	jardim cecy	1
41438	Santo Amaro	jardim cedro do libano	1
41476	Sacomã	jardim celeste	1
41509	Vila Sônia	jardim celeste	1
41600	Rio Pequeno	jardim centenario	1
41747	Butantã	jardim christe	1
41795	José Bonifácio	jardim cibele	1
41872	Pirituba	jardim cidade pirituba	1
41958	Cidade Ademar	jardim cidalia	1
42140	Jaguara	jardim cimobil	1
42164	São Mateus	jardim cinco de julho	1
42241	Jardim Ângela	jardim clara regina	1
42338	Capão Redondo	jardim clarice	1
42504	Anhanguera	jardim clei	1
42539	Itaquera	jardim cleide	1
42639	Cidade Dutra	jardim cliper	1
42758	Raposo Tavares	jardim claudia	1
42818	Capão Redondo	jardim clelia	1
42825	Jabaquara	jardim clelia	1
42835	Pedreira	jardim clelia	1
42916	Sacomã	jardim climax	1
43009	Jardim Ângela	jardim coimbra	1
43062	Artur Alvim	jardim coimbra	1
43141	Vila Sônia	jardim colombo	1
43215	Cidade Dutra	jardim colonial	1
43319	São Rafael	jardim colorado	1
43394	Capão Redondo	jardim comercial	1
43519	Penha	jardim concordia	1
43606	Iguatemi	jardim conquista	1
43720	Campo Grande	jardim consorcio	1
43777	Jardim Ângela	jardim copacabana	1
43934	Santo Amaro	jardim cordeiro	1
43981	Tremembé	jardim corisco	1
44073	Jabaquara	jardim costa pereira	1
44217	Aricanduva	jardim cotching	1
44259	Sapopemba	jardim cotiana	1
44408	Ponte Rasa	jardim cotinha	1
44463	Cidade Dutra	jardim cristal	1
44557	Tremembé	jardim cristina	1
44645	Jardim São Luís	jardim cristalia	1
44751	Cidade Dutra	jardim cruzeiro	1
44841	Jabaquara	jardim cunha bueno	1
44934	Cidade Ademar	jardim cupece	1
45057	Jardim Helena	jardim celia	1
45132	Itaim Paulista	jardim dalmo	1
45223	Brasilândia	jardim damasceno	1
45379	São Miguel	jardim danubio azul	1
45421	Tremembé	jardim dayse	1
45536	Rio Pequeno	jardim dinorah	1
45640	Campo Grande	jardim diomar	1
45700	Sacomã	jardim dionisio	1
45854	Santo Amaro	jardim dom bosco	1
45921	Jardim Helena	jardim dom fernando	1
45986	Capão Redondo	jardim dom jose	1
46046	Santo Amaro	jardim dom jose	1
46099	Pedreira	jardim domitila	1
46194	Lajeado	jardim dona deolinda	1
46282	Jaraguá	jardim donaria	1
46406	Raposo Tavares	jardim dracena	1
46469	Jardim São Luís	jardim dulce	1
46565	Jardim São Luís	jardim duprat	1
46681	Cangaíba	jardim danfer	1
46784	Rio Pequeno	jardim d'abril	1
46934	Morumbi	jardim d'oeste	1
46944	Grajaú	jardim edda	1
47040	Grajaú	jardim edi	1
47151	Cidade Dutra	jardim edilene	1
47247	Cidade Dutra	jardim edith	1
47366	Raposo Tavares	jardim educandario	1
47444	São Mateus	jardim egle	1
47523	Sapopemba	jardim elba	1
47618	Capão Redondo	jardim eledi	1
47714	Capão Redondo	jardim eledy	1
47881	Parque do Carmo	jardim elian	1
47904	Grajaú	jardim eliana	1
48029	Cidade Líder	jardim eliane	1
48104	Campo Limpo	jardim elisa	1
48199	Brasilândia	jardim elisa maria	1
48296	Campo Limpo	jardim elizabeth	1
48384	Grajaú	jardim ellus	1
48492	Itaim Paulista	jardim elza	1
48583	Brasilândia	jardim elisio	1
48719	Mandaqui	jardim emilia	1
48808	Campo Grande	jardim ernestina	1
48885	Parelheiros	jardim erpim	1
49032	Anhanguera	jardim escocia	1
49088	Rio Pequeno	jardim esmeralda	1
49139	Butantã	jardim esmeralda	1
49184	Rio Pequeno	jardim ester	1
49280	Rio Pequeno	jardim ester yolanda	1
49376	Rio Pequeno	jardim esther	1
49472	Rio Pequeno	jardim esther yolanda	1
49554	Lajeado	jardim etelvina	1
49669	Vila Sônia	jardim eunice	1
49729	Jardim Ângela	jardim europa	1
49804	Pinheiros	jardim europa	1
49836	Itaim Paulista	jardim eva	1
50006	Morumbi	jardim everest	1
50034	Lajeado	jardim fanganiello	1
50144	Rio Pequeno	jardim farah	1
50216	Campo Limpo	jardim faria lima	1
50320	Pirituba	jardim felicidade	1
50429	Cidade Líder	jardim fernandes	1
50542	Vila Prudente	jardim figueira	1
50605	Tremembé	jardim filhos da terra	1
50693	Jardim São Luís	jardim fim de semana	1
50789	Jardim São Luís	jardim flores	1
50895	Cidade Dutra	jardim floresta	1
51009	Jardim Helena	jardim fluminense	1
51097	Cangaíba	jardim flavio	1
51173	Jardim São Luís	jardim florida paulista	1
51277	Tremembé	jardim fontalis	1
