	district	neighbourhood	in_dist
61760	Rio Pequeno	jardim julieta	1
61881	Aricanduva	jardim jurema	1
61957	Vila Sônia	jardim jussara	1
62031	Cidade Dutra	jardim kika	1
62113	Jardim Ângela	jardim kagohara	1
62251	Ermelino Matarazzo	jardim keralux	1
62356	Tucuruvi	jardim kerlakian	1
62415	Cidade Dutra	jardim kioto	1
62496	Grajaú	jardim labitary	1
62630	Raposo Tavares	jardim lago	1
62755	São Miguel	jardim lajeado	1
62799	Cidade Dutra	jardim lallo	1
62936	Ponte Rasa	jardim laone	1
63043	São Miguel	jardim lapena	1
63109	Vila Sônia	jardim lar sao paulo	1
63176	Campo Limpo	jardim laranjal	1
63285	Parelheiros	jardim laranjeiras	1
63286	Iguatemi	jardim laranjeiras	1
63372	Itaim Paulista	jardim laura	1
63471	Cidade Dutra	jardim leblon	1
63589	Vila Sônia	jardim leila	1
63656	Campo Limpo	jardim leme	1
63749	Jardim São Luís	jardim leni	1
63845	Jardim São Luís	jardim leonardo	1
63973	Vila Sônia	jardim leonor	1
64022	Morumbi	jardim leonor	1
64084	Tucuruvi	jardim leonor mendes de barros	1
64133	Jardim São Luís	jardim leticia	1
64232	Campo Limpo	jardim leonidas moreira	1
64324	Sacomã	jardim liar	1
64427	Itaquera	jardim lideranca	1
64514	Capão Redondo	jardim lilah	1
64630	Iguatemi	jardim limoeiro	1
64760	Ponte Rasa	jardim lisboa	1
64837	Vila Sônia	jardim londrina	1
64921	Cangaíba	jardim lorenzo	1
64998	Cidade Ademar	jardim los angeles	1
65097	Jabaquara	jardim lourdes	1
65224	Campo Grande	jardim luanda	1
65346	Jardim Paulista	jardim luciana	1
65443	São Miguel	jardim lucinda	1
65472	Grajaú	jardim lucelia	1
65606	Raposo Tavares	jardim luisa	1
65702	Raposo Tavares	jardim luiza	1
65766	Cidade Ademar	jardim luso	1
65872	Pirituba	jardim libano	1
65962	Jaraguá	jardim lider	1
66050	Capão Redondo	jardim lidia	1
66233	Alto de Pinheiros	jardim ligia	1
66278	Raposo Tavares	jardim lucia	1
66374	Raposo Tavares	jardim lucio de castro	1
66444	Itaim Paulista	jardim mabel	1
66530	Capão Redondo	jardim macedonia	1
66681	Aricanduva	jardim machado	1
66722	Capão Redondo	jardim madalena	1
66832	Pirituba	jardim maggi	1
66945	Jardim Helena	jardim maia	1
67055	Mandaqui	jardim malba	1
67163	Perus	jardim manacas	1
67258	São Domingos	jardim mangalot	1
67343	Mandaqui	jardim maninos	1
67465	Parque do Carmo	jardim maraba	1
67480	Socorro	jardim maraba	1
67495	Brasilândia	jardim maracana	1
67586	Capão Redondo	jardim maraca	1
67720	Campo Grande	jardim marajoara	1
67791	Cidade Dutra	jardim marcel	1
67880	Campo Limpo	jardim marcelo	1
67973	Jardim São Luís	jardim marco paulo	1
68097	Jardim Helena	jardim margarida	1
68181	Parelheiros	jardim maria amalia	1
68303	Mandaqui	jardim maria antonia	1
68390	Raposo Tavares	jardim maria augusta	1
68469	Parelheiros	jardim maria borba	1
68552	Campo Limpo	jardim maria duarte	1
68641	Jardim Ângela	jardim maria emilia	1
68740	Sacomã	jardim maria estela	1
68853	Parelheiros	jardim maria fernandes	1
68934	Cidade Ademar	jardim maria luiza	1
68960	Rio Pequeno	jardim maria luiza	1
68985	Aricanduva	jardim maria luiza	1
69046	Iguatemi	jardim maria lidia	1
69152	Rio Pequeno	jardim maria lucia	1
69229	Tremembé	jardim maria nazare	1
69327	Cidade Dutra	jardim maria rita	1
69416	Campo Limpo	jardim maria sampaio	1
69512	Campo Limpo	jardim maria virginia	1
69637	Vila Sônia	jardim maria do carmo	1
69697	Jardim Ângela	jardim mariane	1
69792	Grajaú	jardim marilda	1
69932	Guaianases	jardim marilena	1
70013	Cidade Líder	jardim marilia	1
70108	Freguesia do Ó	jardim mariliza	1
70198	Iguatemi	jardim marilu	1
70326	Artur Alvim	jardim marina	1
70383	Cidade Dutra	jardim maringa	1
70512	Vila Matilde	jardim maringa	1
70521	Aricanduva	jardim maringa	1
70652	Jaguara	jardim marisa	1
70656	Grajaú	jardim marisa	1
70756	Sacomã	jardim maristela	1
70780	Freguesia do Ó	jardim maristela	1
70892	Guaianases	jardim marpu	1
70949	Jardim São Luís	jardim marquesa	1
71046	Cidade Ademar	jardim martini	1
71144	Campo Limpo	jardim martinica	1
71245	Tremembé	jardim martins silva	1
71371	Ermelino Matarazzo	jardim matarazzo	1
71411	Butantã	jardim matarazzo	1
71429	Jardim São Luís	jardim mazza	1
71532	Itaim Paulista	jardim meliunas	1
71622	Cidade Ademar	jardim melo	1
71721	Jabaquara	jardim mendes gaia	1
71817	Jabaquara	jardim metropolitano	1
71864	Ponte Rasa	jardim metropolitano	1
71907	Sapopemba	jardim mimar	1
72012	Itaim Paulista	jardim miragaia	1
72101	Jardim São Luís	jardim mirante	1
72198	Cidade Ademar	jardim miriam	1
72204	Itaim Paulista	jardim miriam	1
72288	Grajaú	jardim mirna	1
72392	Campo Limpo	jardim mitsutani	1
72482	Capão Redondo	jardim modelo	1
72540	Jaçanã	jardim modelo	1
72604	Freguesia do Ó	jardim monjolo	1
72700	Freguesia do Ó	jardim monte alegre	1
72768	Grajaú	jardim monte alegre	1
72869	Jardim São Luís	jardim monte azul	1
72998	Raposo Tavares	jardim monte belo	2
73093	Vila Sônia	jardim monte kemel	1
73152	Grajaú	jardim monte verde	1
73166	Cidade Tiradentes	jardim monte verde	1
73266	Lajeado	jardim moreno	1
73379	José Bonifácio	jardim morganti	1
73477	Vila Sônia	jardim morro verde	1
73622	Morumbi	jardim morumbi	1
73690	São Domingos	jardim mutinga	1
73728	Grajaú	jardim myrna	1
73839	Cidade Dutra	jardim malia i	1
73935	Cidade Dutra	jardim malia ii	1
74018	Capão Redondo	jardim monica	1
74120	Campo Limpo	jardim nadir	1
74213	Jardim São Luís	jardim nagib salem	1
74309	Jardim São Luís	jardim nair	1
74371	São Miguel	jardim nair	1
74401	Jardim Ângela	jardim nakamura	1
74582	Morumbi	jardim namba	1
74650	São Domingos	jardim nardini	1
74707	Pedreira	jardim nastari	1
74795	Itaquera	jardim naufal	1
74906	Vila Curuçá	jardim nazareth	1
74981	Jardim São Luís	jardim neide	1
75114	Vila Medeiros	jardim neila	1
75200	Rio Pequeno	jardim nelly	1
75324	Jaçanã	jardim nelson	1
75417	Aricanduva	jardim nice	1
75493	Vila Sônia	jardim nilson	1
75558	Cidade Ademar	jardim niteroi	1
75663	Cidade Dutra	jardim nizia	1
75777	Jardim Helena	jardim noemia	1
75894	Artur Alvim	jardim nordeste	1
75947	Itaquera	jardim norma	1
76032	Grajaú	jardim noronha	1
76128	Grajaú	jardim nossa senhora aparecida	1
76297	Parque do Carmo	jardim nossa senhora do carmo	1
76326	Cidade Ademar	jardim nosso lar	1
76473	Aricanduva	jardim nova carrao	1
76514	Capão Redondo	jardim nova germania	1
76626	Lajeado	jardim nova guaianases	1
76704	Grajaú	jardim nova tereza	1
76820	São Mateus	jardim nove de julho	1
76951	Vila Formosa	jardim novo carrao	1
76992	Grajaú	jardim novo horizonte	1
77088	Grajaú	jardim novo jau	1
77184	Grajaú	jardim novo lar	1
77345	Moema	jardim novo mundo	1
77397	Parelheiros	jardim novo parelheiros	1
77477	Jardim São Luís	jardim novo santo amaro	1
77605	Vila Sônia	jardim novo taboao	1
77676	Itaim Paulista	jardim nelia	1
77792	Rio Pequeno	jardim odete	1
77864	Campo Limpo	jardim olinda	1
77989	Vila Sônia	jardim olympia	1
78085	Vila Sônia	jardim olimpia	1
78102	Artur Alvim	jardim olimpia	1
78151	Brasilândia	jardim ondina	1
78240	Grajaú	jardim orbam	1
78345	Jabaquara	jardim oriental	1
78357	Parelheiros	jardim oriental	1
78469	Vila Sônia	jardim oriente	1
78543	Cidade Dutra	jardim orion	1
78624	Grajaú	jardim orion	1
78726	Cidade Ademar	jardim orly	1
78863	Mandaqui	jardim ormendina	1
78937	Cangaíba	jardim otilia	1
79021	Tremembé	jardim palmares	1
79048	Campo Grande	jardim palmares	1
79131	São Lucas	jardim panorama	1
79190	Morumbi	jardim panorama	1
79286	Morumbi	jardim panorama d'oeste	1
79339	Ermelino Matarazzo	jardim pantanal	1
79408	Pirituba	jardim paqueta	1
79508	São Mateus	jardim paraguacu	1
79631	Mandaqui	jardim paraiso	1
79688	Campo Limpo	jardim paris	1
79793	Vila Andrade	jardim parque morumbi	1
79876	Sacomã	jardim patente	1
79972	Sacomã	jardim patente novo	1
80130	Jardim Paulista	jardim paulista	1
80167	Brasilândia	jardim paulistano	1
80236	Pinheiros	jardim paulistano	1
80277	Parelheiros	jardim paulo afonso	1
80390	Raposo Tavares	jardim paulo vi	1
80483	José Bonifácio	jardim pedra branca	1
80563	Pedreira	jardim pedreira	1
80670	Vila Jacuí	jardim pedro jose nunes	1
80761	Cangaíba	jardim penha	1
80896	Limão	jardim pereira leite	1
80952	Cachoeirinha	jardim peri	1
81048	Cachoeirinha	jardim peri alto	1
81144	Cachoeirinha	jardim peri novo	1
81253	Vila Sônia	jardim peri peri	1
81299	Butantã	jardim peri peri	1
81371	Perus	jardim perus	1
81470	Santo Amaro	jardim petropolis	1
81596	Jaguara	jardim piaui	1
81683	Butantã	jardim pinheiros	1
81751	Vila Formosa	jardim piquerobi	1
81800	Campo Limpo	jardim piracuama	1
81896	Campo Limpo	jardim pirajussara	1
82009	Cangaíba	jardim piratininga	1
82090	Jaraguá	jardim pirituba	1
82176	Grajaú	jardim planalto	1
82177	Jardim Ângela	jardim planalto	1
82179	Sapopemba	jardim planalto	1
82206	Vila Jacuí	jardim planalto	1
82328	Ponte Rasa	jardim ponte rasa	1
82424	Ponte Rasa	jardim popular	1
82477	Tremembé	jardim portal i e ii	1
82563	Sapopemba	jardim porteira grande	1
82656	Grajaú	jardim porto velho	1
82767	Cidade Dutra	jardim pouso alegre	1
82848	Grajaú	jardim prainha	1
82959	Cidade Dutra	jardim presidente	1
83048	Campo Limpo	jardim prestes maia	1
83185	Cursino	jardim previdencia	1
83247	Cidade Dutra	jardim primavera	1
83296	Limão	jardim primavera	1
83335	Brasilândia	jardim princesa	1
83507	Butantã	jardim prividencia	1
83520	Grajaú	jardim progresso	1
83532	Itaim Paulista	jardim progresso	1
83678	Santo Amaro	jardim promissao	1
83718	Cidade Ademar	jardim prudencia	1
83822	Cidade Tiradentes	jardim perola	1
83918	Cidade Tiradentes	jardim perola ii	1
84014	Cidade Tiradentes	jardim perola iii	1
84143	Mandaqui	jardim picolo	1
84207	Cidade Dutra	jardim quarto centenario	1
84314	Vila Curuçá	jardim quisisana	1
84405	Parelheiros	jardim ramala	1
84493	Tremembé	jardim ramos de freitas	1
84577	Jardim Ângela	jardim ranieri	1
84710	Raposo Tavares	jardim raposo tavares	1
84856	Socorro	jardim real	1
84872	Campo Limpo	jardim reboucas	1
84901	Vila Sônia	jardim reboucas	1
84967	Brasilândia	jardim recanto	1
85069	Tremembé	jardim recanto verde	1
85207	Vila Formosa	jardim recanto das rosas	1
85248	Grajaú	jardim recanto do sol	1
85401	Aricanduva	jardim record	1
85441	Jardim Ângela	jardim recreio	1
85563	São Lucas	jardim redencao	1
85643	Itaquera	jardim redil	1
85731	Sapopemba	jardim regina	1
85824	Grajaú	jardim reimberg	1
85921	Jardim Ângela	jardim remo	1
86031	Cidade Dutra	jardim represa	1
86127	Cidade Dutra	jardim republica	1
86230	Iguatemi	jardim ricardo	1
86314	Jaraguá	jardim rincao	1
86415	Cidade Dutra	jardim rio bonito	1
86497	Jardim Ângela	jardim rio douro	1
86624	Rio Pequeno	jardim rio pequeno	1
86693	Jardim São Luís	jardim riviera	1
86867	Butantã	jardim rizzo	1
86906	Vila Curuçá	jardim robru	1
87009	Jardim Helena	jardim romano	1
87080	Campo Limpo	jardim roni	1
87169	Jardim Ângela	jardim rosa maria	1
87206	Raposo Tavares	jardim rosa maria	1
87279	Cidade Dutra	jardim rosalina	1
87368	Campo Limpo	jardim rosana	1
87477	Parelheiros	jardim roschel	1
87574	Iguatemi	jardim roseli	1
87685	Vila Sônia	jardim rosemary	1
87770	Vila Curuçá	jardim rosina	1
87912	Anhanguera	jardim rosinha	1
88006	Casa Verde	jardim rossin	1
88051	Pedreira	jardim rubilene	1
88166	Raposo Tavares	jardim rubini	1
88283	Perus	jardim russo	1
88350	Vila Jacuí	jardim ruth	1
88431	Cidade Dutra	jardim regis	1
88550	Raposo Tavares	jardim rubio	1
88678	Casa Verde	jardim s kemel	1
88744	Campo Grande	jardim sabara	1
88800	Grajaú	jardim sabia	1
88837	Vila Sônia	jardim sabia	1
88898	Capão Redondo	jardim sagrado coracao	1
88992	Grajaú	jardim salinas	1
89103	Cidade Dutra	jardim samambaia	1
89184	Grajaú	jardim samara	1
89192	Campo Limpo	jardim samara	1
89280	Grajaú	jardim samas	1
89378	Capão Redondo	jardim sandra	1
89485	Tremembé	jardim sandra maria	1
89588	São Mateus	jardim santa adelia	1
89664	Grajaú	jardim santa barbara	1
89764	Sacomã	jardim santa cruz	1
89781	Parelheiros	jardim santa cruz	1
89784	Cachoeirinha	jardim santa cruz	1
89800	Campo Grande	jardim santa cruz	1
89861	Jardim São Luís	jardim santa edwiges	1
89960	Campo Limpo	jardim santa efigenia	1
90052	Sacomã	jardim santa emilia	1
90181	Vila Sônia	jardim santa filomena	1
90240	Grajaú	jardim santa francisca	1
90336	Grajaú	jardim santa francisca cabrini	1
90453	Parelheiros	jardim santa fe	1
90528	Grajaú	jardim santa fe	1
90629	Jardim São Luís	jardim santa gertrudes	1
90808	Socorro	jardim santa helena	1
90863	Mandaqui	jardim santa ines	1
90917	Jardim São Luís	jardim santa josefina	1
91081	Parque do Carmo	jardim santa marcelina	1
91105	Jardim Ângela	jardim santa margarida	1
91230	Vila Jacuí	jardim santa maria	1
91255	Vila Formosa	jardim santa maria	1
91312	Pirituba	jardim santa monica	1
91407	Cidade Dutra	jardim santa rita	1
91507	Pedreira	jardim santa teresinha	1
91584	Grajaú	jardim santa tereza	1
91699	Pedreira	jardim santa terezinha	1
91701	Parelheiros	jardim santa terezinha	1
91709	Cidade Líder	jardim santa terezinha	1
91777	Jardim Ângela	jardim santa zelia	1
91902	Vila Jacuí	jardim santana	1
91981	Tremembé	jardim santo alberto	1
92126	Santo Amaro	jardim santo amaro	1
92183	São Rafael	jardim santo andre	1
92262	Cidade Ademar	jardim santo antoninho	1
92369	Vila Andrade	jardim santo antonio	1
92378	Vila Curuçá	jardim santo antonio	1
92414	Santo Amaro	jardim santo antonio	1
92452	Sacomã	jardim santo antonio do cursino	1
92601	Aricanduva	jardim santo eduardo	1
92698	São Domingos	jardim santo elias	1
92792	Ponte Rasa	jardim santo onofre	1
92864	Rio Pequeno	jardim santos dumont	1
92931	Sapopemba	jardim sapopemba	1
93056	Rio Pequeno	jardim sarah	1
93135	Cidade Dutra	jardim satelite	1
93225	Jabaquara	jardim scaff	1
93316	Sacomã	jardim seckler	1
93427	Pedreira	jardim selma	1
93549	Vila Maria	jardim senice	1
93600	Grajaú	jardim sete de setembro	1
93696	Grajaú	jardim shangri-la	1
93802	Jaraguá	jardim shangrila	1
93904	Pirituba	jardim sidnei	1
94010	Vila Curuçá	jardim silva teles	1
94141	Água Rasa	jardim silveira	1
94176	Grajaú	jardim sipramar	1
94316	Guaianases	jardim soares	1
94369	Jardim Ângela	jardim solange	1
94520	Ponte Rasa	jardim soraia	1
94565	Jardim São Luís	jardim sousa	1
94670	Cidade Tiradentes	jardim souza ramos	1
94761	Jabaquara	jardim sul sao paulo	1
94936	Socorro	jardim suzana	1
94960	Pirituba	jardim sydney	1
95088	Vila Matilde	jardim samara	1
95151	Cidade Dutra	jardim sao benedito	1
95158	Iguatemi	jardim sao benedito	1
95302	Casa Verde	jardim sao bento	1
95330	Capão Redondo	jardim sao bento novo	1
95424	Grajaú	jardim sao bernardo	1
95526	Cidade Ademar	jardim sao carlos	1
95550	Vila Jacuí	jardim sao carlos	1
95564	Guaianases	jardim sao carlos	1
95636	São Mateus	jardim sao cristovao	1
95756	Guaianases	jardim sao domingos	1
95831	São Rafael	jardim sao francisco	1
95833	Cangaíba	jardim sao francisco	1
95909	Jardim São Luís	jardim sao francisco de assis	1
96003	Sapopemba	jardim sao gabriel	1
96179	Butantã	jardim sao gilberto	1
96214	Iguatemi	jardim sao goncalo	1
96296	Campo Limpo	jardim sao januario	1
96389	Jardim São Luís	jardim sao joaquim	1
96486	Cidade Ademar	jardim sao jorge	1
96518	Raposo Tavares	jardim sao jorge	1
96614	Raposo Tavares	jardim sao jorge (raposo tavares)	1
96673	Jardim Ângela	jardim sao jose	1
96688	Pirituba	jardim sao jose	1
96692	São Mateus	jardim sao jose	1
96726	Artur Alvim	jardim sao jose	1
96769	Jardim Ângela	jardim sao joao	1
96778	Jaraguá	jardim sao joao	1
96779	Itaquera	jardim sao joao	1
96781	Tremembé	jardim sao joao	1
96791	São Rafael	jardim sao joao	1
96812	Guaianases	jardim sao joao	1
96822	Artur Alvim	jardim sao joao	1
96865	Jardim Ângela	jardim sao lourenco	1
96867	Sapopemba	jardim sao lourenco	1
96965	Jardim São Luís	jardim sao luis	1
96972	Itaim Paulista	jardim sao luis	1
96973	Tremembé	jardim sao luis	1
97057	Jardim Ângela	jardim sao manoel	1
97161	Jabaquara	jardim sao martinho	1
97185	Jardim Helena	jardim sao martinho	1
97256	Campo Limpo	jardim sao mateus	1
97411	São Miguel	jardim sao miguel	1
97414	Casa Verde	jardim sao miguel	1
97496	Ponte Rasa	jardim sao nicolau	1
97554	Lajeado	jardim sao paulo	1
97577	Santana	jardim sao paulo	1
97580	Guaianases	jardim sao paulo	1
97676	Guaianases	jardim sao paulo novo	1
97772	Guaianases	jardim sao paulo velho	1
97859	José Bonifácio	jardim sao pedro	1
97920	Grajaú	jardim sao pedro	1
98031	Cidade Dutra	jardim sao rafael	1
98126	Cidade Tiradentes	jardim sao raimundo	1
98208	Grajaú	jardim sao remo	1
98388	Vila Leopoldina	jardim sao ricardo	1
98403	Sapopemba	jardim sao roberto	1
98504	Campo Limpo	jardim sao roque	1
98596	Sacomã	jardim sao saverio	1
98755	São Miguel	jardim sao sebastiao	1
98812	Freguesia do Ó	jardim sao silvestre	1
98947	São Miguel	jardim sao vicente	1
98988	Itaim Paulista	jardim silvia	1
99062	Morumbi	jardim silvia	1
99078	Cidade Ademar	jardim sonia	1
99170	Capão Redondo	jardim sonia inga	1
99265	Jardim Ângela	jardim sonia regina	1
99397	Vila Sônia	jardim taboao	1
99466	Jaraguá	jardim taipas	1
99553	Jardim Ângela	jardim tamoio	1
99648	Grajaú	jardim tanay	1
99801	Aricanduva	jardim tango	1
99880	Campo Grande	jardim taquaral	1
99963	São Lucas	jardim teresa	1
100087	Vila Formosa	jardim textil	1
100181	Tatuapé	jardim textilia	1
100251	São Lucas	jardim tealia	1
100325	Jardim São Luís	jardim thomaz	1
100436	São Mateus	jardim tiete	1
100519	Brasilândia	jardim tiro ao pombo	1
100608	Grajaú	jardim toca	1
100623	Cidade Dutra	jardim toca	1
100709	Jardim São Luís	jardim tomas	1
100813	Tremembé	jardim tremembe	1
100944	Vila Matilde	jardim triana	1
100996	Sacomã	jardim tropical	1
101024	Rio Pequeno	jardim tropical	1
101125	Vila Sônia	jardim trussardi	1
101184	Grajaú	jardim tres coracoes	1
101336	Ponte Rasa	jardim tres marias	1
101368	Socorro	jardim tres marias	1
101377	Jardim Ângela	jardim tupi	1
101560	Socorro	jardim tupa	1
101569	Jardim Ângela	jardim turquesa	1
101676	Itaim Paulista	jardim tua	1
101766	Cidade Ademar	jardim uberaba	1
101874	Lajeado	jardim ubirajara	1
101896	Campo Grande	jardim ubirajara	1
101990	Raposo Tavares	jardim uirapuru	1
102056	Campo Limpo	jardim umarizal	1
102152	Campo Limpo	jardim umuarama	1
102184	Campo Grande	jardim umuarama	1
102316	Pinheiros	jardim universidade pinheiros	1
102337	Jardim Ângela	jardim uniao	1
102433	Jardim Ângela	jardim vale verde	1
102530	Capão Redondo	jardim vale das virtudes	1
102626	Capão Redondo	jardim valquiria	1
102644	São Mateus	jardim valquiria	1
102720	Grajaú	jardim varginha	1
102821	Jardim São Luís	jardim vaz de lima	1
102949	Vila Sônia	jardim vazani	1
103009	Jardim Ângela	jardim vera cruz	1
103029	Parelheiros	jardim vera cruz	1
103031	São Rafael	jardim vera cruz	1
103058	Perdizes	jardim vera cruz	1
103109	Jardim São Luís	jardim vergueiro	1
103243	Ermelino Matarazzo	jardim veronia	1
103321	Cangaíba	jardim veronica	1
103478	Morumbi	jardim viana	1
103580	Jaguara	jardim vieira	1
103631	Mandaqui	jardim vieira de carvalho	1
103703	São Rafael	jardim vila carrao	1
103833	Aricanduva	jardim vila formosa	1
103908	Vila Mariana	jardim vila mariana	1
103977	Jabaquara	jardim vila rica	1
104070	Cidade Ademar	jardim vilas boas	1
104172	Itaim Paulista	jardim vilma	1
104303	Mandaqui	jardim virginia	1
104365	Tremembé	jardim virginia bianca	1
104455	Brasilândia	jardim vista alegre	1
104560	Pirituba	jardim vitoria	1
104657	Vila Andrade	jardim vitoria regia	1
104726	Morumbi	jardim vitoria regia	1
104746	Jaraguá	jardim vivan	1
104833	Jardim Ângela	jardim wanda	1
104942	Cidade Tiradentes	jardim wilma flor	1
105037	Tremembé	jardim yara	1
105125	Jardim São Luís	jardim ymay	1
105222	Cidade Ademar	jardim zaira	1
105312	Grajaú	jardim zilda	1
105448	Campo Grande	jardim da campina	1
105563	Perus	jardim da conquista	1
105682	Vila Guilherme	jardim da coroa	1
105751	Vila Formosa	jardim da divisa	1
105828	Vila Mariana	jardim da gloria	1
105910	Iguatemi	jardim da laranjeira	1
106033	Cursino	jardim da saude	1
106131	Itaim Bibi	jardim das acacias	1
106252	Pinheiros	jardim das bandeiras	1
106287	Cidade Dutra	jardim das camelias	1
106302	Vila Jacuí	jardim das camelias	1
106406	Raposo Tavares	jardim das esmeraldas	1
106465	Jardim Ângela	jardim das flores	1
106581	Parelheiros	jardim das fontes	1
106720	Limão	jardim das gracas	1
106767	Cidade Dutra	jardim das imbuias	1
106918	Casa Verde	jardim das laranjeiras	1
106956	Itaim Paulista	jardim das oliveiras	1
106965	Parelheiros	jardim das oliveiras	1
107077	Vila Sônia	jardim das palmas	1
107157	Parelheiros	jardim das palmeiras	1
107245	Tremembé	jardim das pedras	1
107328	Grajaú	jardim das pedras (grajau)	1
107439	Cidade Dutra	jardim das praias	1
107522	Capão Redondo	jardim das rosas	1
107533	Tremembé	jardim das rosas	1
107542	Iguatemi	jardim das rosas	1
107577	Aricanduva	jardim das rosas	1
107653	Vila Sônia	jardim das vertentes	1
107737	Cangaíba	jardim de lorenzo	1
107823	Cidade Dutra	jardim do alto	1
107922	Lajeado	jardim do campo	1
108040	Campo Grande	jardim do carmo	1
108121	Cangaíba	jardim do castelo	1
108213	Parelheiros	jardim do centro	1
108290	Capão Redondo	jardim do colegio	1
108329	Santana	jardim do colegio	1
108428	Guaianases	jardim do divino	1
108512	Rio Pequeno	jardim do lago	1
108607	Penha	jardim do norte	1
108731	Perus	jardim do russo	1
108775	Brasilândia	jardim do tiro	1
108867	Sapopemba	jardim dona sinha	1
108975	Cidade Dutra	jardim dos bichinhos	1
109088	Rio Pequeno	jardim dos cataldis	1
109214	Santo Amaro	jardim dos estados	1
109343	Marsilac	jardim dos eucaliptos	1
109370	Vila Curuçá	jardim dos ipes	1
109529	Alto de Pinheiros	jardim dos jacarandas	1
109624	Socorro	jardim dos lagos	1
109632	Grajaú	jardim dos manacas	1
109742	Cidade Tiradentes	jardim dos pereiras	1
109840	Pirituba	jardim dos pinheiros	1
109960	Campo Grande	jardim dos prados	1
110017	Jardim Ângela	jardim dos reis	1
110133	Parelheiros	jardim dos alamos	1
110273	Moema	jardim luzitania	1
110305	Jardim Ângela	jardim angela	1
110307	Sapopemba	jardim angela	1
110415	Cidade Dutra	jardim icara	1
110512	Pirituba	jardim iris	1
110668	Pinheiros	jardins	1
110748	Jaçanã	jacana	1
110784	Grajaú	jordanopolis	1
110915	José Bonifácio	jose bonifacio	1
111016	Campo Grande	jurubatuba	1
111072	Grajaú	lago azul	1
111186	Lajeado	lajeado	1
111335	Lapa	lapa	1
111431	Lapa	lapa de baixo	1
111493	Vila Sônia	lar sao paulo	1
111599	Mandaqui	lauzane paulista	1
111723	Liberdade	liberdade	1
111755	Itaquera	limoeiro	1
111904	Limão	limao	1
111992	Ponte Rasa	londrina	1
112042	Jaraguá	loteamento city jaragua	1
112140	Itaim Paulista	loteamento santana do agreste	1
112225	Jardim Ângela	loteamento vila do sol	1
112379	Perus	loteamento vitoria regia	1
112506	Bom Retiro	luz	1
112549	Vila Sônia	l'habitare	1
112655	Mandaqui	mandaqui	1
112757	Tatuapé	maranhao	1
112887	Brás	mercado	1
112897	Jardim Ângela	miaimi paulista	1
113026	Saúde	mirandopolis	1
113153	Moema	moema	1
113253	Mooca	mooca	1
113352	Anhanguera	morada do sol	1
113377	Jardim Ângela	morro do indio	1
113550	Bela Vista	morro dos ingleses	1
113654	Morumbi	morumbi	1
113665	Jardim Ângela	m'boi mirim	1
113774	Cidade Tiradentes	nascer do sol	1
113884	Freguesia do Ó	nossa senhora do o	1
114026	Campo Belo	nova piraju	1
114066	Lajeado	nucleo lajeado	1
114167	São Rafael	nucleo residencial morro do sabao	1
114262	Iguatemi	nucleo residencial sao joao	1
114349	Tremembé	nucleo do engordador	1
114478	Vila Prudente	olaria	1
114609	Consolação	pacaembu	1
114710	Morumbi	paineiras do morumbi	1
114741	Parelheiros	paiol velho	1
114838	Iguatemi	palanque	1
114929	Vila Andrade	panambi	1
115027	Pedreira	paque doroteia	1
115114	Jaraguá	parada	1
115200	Grajaú	parada 57	1
115348	Tucuruvi	parada inglesa	1
115403	Itaquera	parada quinze	1
115499	Itaquera	parada xv de novembro	1
115601	Vila Andrade	paraisopolis	1
115716	Vila Mariana	paraiso	1
115793	Vila Andrade	paraiso do morumbi	1
115872	Grajaú	parelheiros	1
116062	Pari	pari	1
116079	Cidade Dutra	parque alto do rio bonito	1
116165	Jardim São Luís	parque alves de lima	1
116277	Parelheiros	parque amazonas	1
116364	Itaim Paulista	parque amelia	1
116448	Grajaú	parque america	1
116602	São Domingos	parque anhanguera	1
116616	Anhanguera	parque anhanguera	1
116636	Jaguara	parque anhanguera	1
116681	Santana	parque anhembi	1
116744	Campo Limpo	parque arariba	1
116886	Artur Alvim	parque artur alvim	1
116943	Cidade Dutra	parque atlantico	1
117041	Vila Andrade	parque bairro do morumbi	1
117139	Pedreira	parque bandeirantes	1
117270	Artur Alvim	parque bela vista	1
117319	Brasilândia	parque belem	1
117430	Iguatemi	parque boa esperanca	1
117505	Jardim Ângela	parque bologne	1
117643	Ermelino Matarazzo	parque boturussu	1
117697	Jardim Ângela	parque boulogne	1
117792	Grajaú	parque brasil	1
117892	Sacomã	parque bristol	1
117997	Tremembé	parque casa de pedra	1
118124	Guaianases	parque central	1
118176	Grajaú	parque cocaia	1
118292	São Mateus	parque colonial	1
118460	Jaguara	parque continental	1
118465	Jardim Ângela	parque cristina	1
118617	Aricanduva	parque cruzeiro do sul	1
118681	Cangaíba	parque cisper	1
118752	Grajaú	parque deizy	1
118874	Vila Curuçá	parque dom joao neri	1
118970	Vila Curuçá	parque d'abril	1
119100	Jaçanã	parque edu chaves	1
119167	Penha	parque eduardo	1
119240	Campo Limpo	parque esmeralda	1
119400	Anhanguera	parque esperanca	1
119429	Jardim São Luís	parque europa	1
119522	Capão Redondo	parque fernanda	1
119624	Campo Limpo	parque flamengo	1
119733	Parelheiros	parque florestal	1
119812	Sacomã	parque fongaro	1
119904	Grajaú	parque grajau	1
120018	Lajeado	parque guaianases	1
120107	Itaquera	parque guarani	1
120235	Ermelino Matarazzo	parque guedes	1
